時間戳,記錄編號,相對時間 (秒),速度 (km/h)
20250521_224113,1,0.00,84.6
20250521_224113,2,1.41,0.0
20250521_224113,3,2.49,27.0
20250521_224113,4,2.95,97.3
20250521_224113,5,4.44,78.9
20250521_224113,6,5.92,96.7
20250521_224113,7,7.82,19.3
20250521_224113,8,8.91,101.9
20250521_224113,9,10.43,115.8
20250521_224113,10,13.36,107.7
20250521_224113,11,14.71,0.0
20250521_224113,12,16.56,1.1
20250521_224113,13,17.85,106.1

統計數據,數值
移動方向,right_to_left
總記錄數,13
平均速度 (km/h),64.3
最大速度 (km/h),115.8
最小速度 (km/h),0.0
