Session ID,Timestamp File,Transit Number,Relative Start Time (s),Avg Transit Speed (km/h)
1,20250521_160036,1,0.00,44.2
1,20250521_160036,2,1.57,48.8
1,20250521_160036,3,2.94,43.1
1,20250521_160036,4,4.44,39.7
1,20250521_160036,5,5.91,48.9
1,20250521_160036,6,7.38,68.1
1,20250521_160036,7,8.91,52.1
1,20250521_160036,8,10.43,58.2
1,20250521_160036,9,11.87,52.1
1,20250521_160036,10,13.36,53.3
1,20250521_160036,11,14.91,49.8
1,20250521_160036,12,16.34,47.9
1,20250521_160036,13,17.86,49.1
1,20250521_160036,14,19.41,62.1
1,20250521_160036,15,20.93,52.3
1,20250521_160036,16,22.47,50.4
1,20250521_160036,17,25.33,52.7
1,20250521_160036,18,26.89,57.7
1,20250521_160036,19,28.34,64.0
1,20250521_160036,20,31.15,38.8
1,20250521_160036,21,32.44,56.3
1,20250521_160036,22,33.83,59.8
1,20250521_160036,23,35.15,45.9
1,20250521_160036,24,36.45,61.8
1,20250521_160036,25,37.82,54.9

Statistic,Value
Total Transits Recorded,25
Overall Average Speed (km/h),52.5
Maximum Avg Transit Speed (km/h),68.1
Minimum Avg Transit Speed (km/h),38.8
